id,name,is_active,facility_id
80,الدواليب نظيفه من (الأعلى-الداخل-الخارج)، الخشب، مفصلات الأبواب والأرقام سليمة و يتم تفريغ الدواليب كماهو معتمد,True,10
81,علب الصابون، الشامبو، رأس المراوش والشطافات سليمه وموحده في كامل النادي,True,10
82,يوجد على الاقل عدد إثنين إستشوار وحالتهم ممتازة ويعملوا بشكل جيد,True,10
83,تواجد عامل و يقوم بمهامه كماينبغي. ويتم تغريغ المناشف إن وجدت أول بأول,True,10
84,المغاسل، دورات المياه سليمه ونظيفة بالإضافة إلى أن أدوات النظافه غير ظاهره للأعضاء,True,10
85,رول ولاصق مانع الإنزلاق سليم ونظيف (إن وجد),True,10
86,يتم فتح وإغلاق المسبح/النادي كماهو معتمد مع البدأ في تقليل الإضاءات وإخراج الأعضاء قبل نهاية الدوام بـ15/10د,True,11
87,الإنارات، الأسقف، الحوائط، الأرضيات،الأبواب، الأقفال، العلاقات والجرافيكس سليم ونظيف,True,11
88, الأدوات ( الدنابل - البورد ... الخ ) متوفره وحالتها سليمة ومرتبة ومنظمة,True,11
89,تم تفعيل كامل حصص السباحه من ( تعليم و حصة أكوا بودي ...),True,11
90,يوجد طوافات، عصا إنقاذ، كرسي منقذ فقط، أسطوانة أكسجين وأدوات الإسعافات الأولية وجميعها بحالة سليمه,True,11
91,المدربين يقومون بالتشييك و التسجيل & مطابق للفعلي,True,11
92,جهاز قياس درجة حرارة الجاكوزي البارد والساونا موجود وسليم,True,11
93,جهاز قياس المواد الإلكتروني سليم ويتم العمل عليه عند تسجيل كل قراءه في نموذج التشييك,True,11
94,علاقات الملابس والمناشف سليمه وموحده كما هو معتمد بالإضافه إلى أن عددها في المسبح لايقل عن 20 علاق,True,11
95,غطاء الخزانات، ماء المسبح، الأوفر فلور و غرفة المعدات نظيفة و سليمة,True,11
96,تم وضع مواد المعالجه كما هو معتمد أو موجه من قبل لجنة المسابح,True,11
97,المسبح والجاكوزيات نقي ونظيف كذلك سلامة(الأرضيات - السلالم - الأوفر فور - علب الصرف - مانع الإنزلاق),True,11
98,الساونا و البخار يعمل ونظيف من( أرضيات - أبواب - مقابض - الرداد - زر التشغيل/التحكم),True,11
99,الأرضيات، شبك المرمى، الحواجز، السور الحديدي وتخطيط الملعب سليم و بحالة جيده,True,12
100,الملعب و محيطه نظيف كذلك الإنارات، الجدران و الدهانات سليمه و بحاله جيده,True,12
101,يتم تنظيف المرمى، الكرات، الشبك و أدوات الحكم بعد كل مباراة,True,12
102,جميع الغسالات والنشافات سليمه وتعمل بشكل ممتاز,True,14
103,يوجد إكتفاء من مواد غسيل وتعطير المناشف كذلك أكياس التغليف,True,14
104,التهوية سليمة ومراوح الشفط تعمل بكفاءة,True,14
105,يوجد رف تصفيط للمناشف وبحالة سليمة,True,14
106,التأكد من وجود  وتفعيل كشف استلام وتسليم والمناشف ,True,14
107,لايوجد عجز في المناشف كما يتم إستغلال كامل المخزون في مستودع النادي,True,14
108,الغرفة نظيفة ومرتبه ولايوجد أي عوائق,True,14
109,الأرضيات، الهاندريل، الزجاج، الخطوط، الجدران، الدهانات والجرافيكس سليم و بحالة جيدة,True,13
110,الأرضيات نظيفة كذلك المكان بشكل عام,True,13
111,الأرضيات، شبك المرمى، الحواجز، السور الحديدي وتخطيط الملعب سليم و بحالة جيده,True,15
112,الملعب و محيطه نظيف كذلك الإنارات، الجدران و الدهانات سليمه و بحاله جيده,True,15
113,يتم تنظيف المرمى، الكرات، الشبك و أدوات الحكم بعد كل مباراة,True,15
114,"الأرضيات، الأسقف، الانارات, الأبواب, الحوائط, التظليل, الزجاج والجرافيكس نظيف وسليم.",True,9
115,جميع السياكل الهوائية والشاشات الخاصه بها تعمل، وكذلك جهاز المدرب الرئيسي,True,9
116,البروجيكتر أو شاشة العرض تعمل كذلك برنامج ماي رايد، والاسلاك سليمة وغير ظاهرة,True,9
